"participant","alpha","beta","gamma","SSE"
1,0.410845089937549,0.521201360176585,0.445326062926037,0.969120965702853
2,0.494158113162724,0.840039790087115,0.0902072799410907,1.77654849249907
3,0.110379604013146,0.0488377911539869,0.819029153342218,2.39202358925833
4,0.479030110568608,0.853070285860375,0.141089961140561,1.31156350017251
5,0.472988168239324,0.318771083150022,0.384044737007243,1.78728012141841
6,0.380406368345183,0.445519729502018,0.744542573745738,0.677420358282415
7,0.408438793730381,0.94227896817278,0.0795939327155659,3.9658746594013
8,0.416044174199671,1.01357221039636,0.167272841439025,2.83507348987636
9,0.800719434074716,0.0573566243043049,0.897298283293315,0.801949661827429
10,0.481128050618707,0.948713104937954,3.14950747138586e-16,1.50857477816053
11,0.417994411577494,0.427669307245757,0.449390900863903,1.35857022648226
12,0.509582820069764,0.354161738963497,0.310824851815453,0.819163823657764
13,0.361869798066773,0.970787333358393,0.138129093238611,2.42072064258206
14,0.0892845583519077,0.102585529537183,0.663083984300528,2.93089471481643
15,0.367279663934269,0.182914950107272,0.813707209898509,4.63099449474572
16,0.462396900229508,0.863997277398154,0.0640760306323892,1.92386286815407
17,0.503166685563518,-0.00102295184901143,0.999999999419368,0.0048494216172346
18,0.509203095190593,1.02600813513336,0.16262158156895,2.19654188798295
19,0.487620724605873,0.982730376219646,0.0745587508759234,0.922391194784992
20,0.50952102957084,0.761711501022251,0.316297373911755,1.70098919568011
21,0.500933370480524,0.807904167020462,0.0757296103446784,0.706703937657223
22,0.419944082217824,1.19312365741237,0.00916593571015161,2.09275839525887
23,0.497339902648031,0.749598074316816,0.0602086775561898,0.677565101243162
24,0.497377986336066,0.166150671917689,0.959604821579443,0.598916752911532
25,0.512048363380425,0.352267175737764,0.226421026579567,1.32082510586853
26,0.509874703671263,0.348706615805604,0.272152506815192,2.44681995859171
27,0.452733140283813,0.136834391230591,0.994749156556427,1.39801172296751
28,0.539474016239077,0.545434655505251,0.482256765372767,1.90047533497703
29,0.52768884021448,0.878090899717922,0.100969708224253,0.773532702351679
30,0.433995934271067,0.729606368026595,0.157849598219041,0.997613915235146
31,0.545563773551283,0.749974949735806,0.0366445833631393,0.461595285947162
32,0.497062818820236,0.293982450509239,0.111538568466227,2.85764962541494
33,0.386987687901561,0.23693781456429,0.975345420074669,0.682529351599362
